date,open,high,low,close,volume
2024-09-24 05:00:00,2622.37,2633.29,2621.74,2631.91,602.8228
2024-09-24 06:00:00,2631.53,2647.08,2631.49,2640.02,1317.2058
2024-09-24 07:00:00,2640.17,2649.02,2637.17,2646.8,1612.1338
2024-09-24 08:00:00,2646.85,2667.53,2642.87,2660.8,3997.0068
2024-09-24 09:00:00,2661.07,2662.78,2643.68,2645,946.0254
2024-09-24 10:00:00,2645.05,2652.2,2642.64,2647.21,754.5026
2024-09-24 11:00:00,2647.45,2648.26,2634.29,2636.84,2221.4596
2024-09-24 12:00:00,2636.93,2646.25,2630.95,2632.76,2047.4967
2024-09-24 13:00:00,2632.7,2646.31,2629.61,2634.48,3972.643
2024-09-24 14:00:00,2634.21,2634.52,2591.67,2612.91,14877.8263
2024-09-24 15:00:00,2612.91,2618.84,2605.07,2612.32,5086.1503
2024-09-24 16:00:00,2612.3,2633.98,2610.95,2626.53,4308.9079
2024-09-24 17:00:00,2626.57,2656.47,2624.87,2647.1,6481.9131
2024-09-24 18:00:00,2647.14,2651.25,2633,2638.06,4928.0525
2024-09-24 19:00:00,2637.96,2655.67,2635.84,2650.26,3826.5022
2024-09-24 20:00:00,2650.18,2659.95,2640.23,2650.8,6331.3318
2024-09-24 21:00:00,2650.33,2655.99,2640.46,2647.68,3948.7265
2024-09-24 22:00:00,2647.52,2671.85,2647.32,2666.42,10842.221
2024-09-24 23:00:00,2666.55,2669.2,2651.75,2653.31,3928.1483
2024-09-25 00:00:00,2653.53,2657.05,2633.11,2638.88,3990.3553
2024-09-25 01:00:00,2638.88,2673.77,2636.69,2649.47,4740.3004
2024-09-25 02:00:00,2649.66,2657.38,2641.49,2647.91,1404.2222
2024-09-25 02:00:00,2649.66,2657.38,2641.49,2647.91,1404.2222
2024-09-25 03:00:00,2647.6,2648.01,2640.02,2646.46,795.1206
2024-09-25 04:00:00,2646.59,2646.84,2624.86,2625.4,1343.1446
2024-09-25 05:00:00,2625.25,2631.37,2620,2624.44,2116.6672
2024-09-25 06:00:00,2624.04,2625.62,2610.51,2617.86,2539.1815
2024-09-25 07:00:00,2617.51,2627.17,2611.97,2621.51,2251.6225
2024-09-25 08:00:00,2621.29,2627.55,2620.51,2625.38,1356.1346
2024-09-25 09:00:00,2625.21,2629.61,2619.83,2621.11,976.0496
2024-09-25 10:00:00,2620.9,2630.28,2613.69,2622.64,2013.9707
2024-09-25 11:00:00,2622.97,2627.92,2614.11,2626.97,1166.964
2024-09-25 12:00:00,2627.33,2627.5,2617.2,2617.3,1433.8562
2024-09-25 13:00:00,2617.08,2622.45,2604.08,2617.48,2843.2323
2024-09-25 14:00:00,2617.24,2629.6,2615.91,2626.47,5321.2884
2024-09-25 15:00:00,2626.78,2628.78,2595.41,2600.9,3606.3429
2024-09-25 16:00:00,2600.95,2609.45,2592.44,2599.65,3199.2283
2024-09-25 17:00:00,2599.58,2604.02,2564.02,2575.02,10021.3646
2024-09-25 18:00:00,2575.02,2583.49,2572.79,2582.33,2279.6337
2024-09-25 19:00:00,2582.3,2589,2567.52,2570.3,3216.8283
2024-09-25 20:00:00,2570.33,2582.73,2569.98,2580.25,2621.5503
2024-09-25 21:00:00,2580.43,2584.58,2576.69,2580.8,3071.1438
2024-09-25 22:00:00,2580.78,2582,2553.93,2571.89,11315.3764
2024-09-25 23:00:00,2571.89,2582.1,2566.84,2579.25,1617.6826
2024-09-26 00:00:00,2579.84,2588.15,2558.84,2570.92,1446.437
2024-09-26 01:00:00,2570.7,2587.28,2559.2,2585.86,4052.8252
2024-09-26 02:00:00,2585.87,2600,2584.96,2596.94,3001.8946
2024-09-26 02:00:00,2585.87,2600,2584.96,2596.94,3001.8946
2024-09-26 03:00:00,2596.76,2606.29,2592.81,2601.98,1380.0037
2024-09-26 04:00:00,2601.85,2604.69,2591.08,2595.7,1020.6761
2024-09-26 05:00:00,2595.7,2616,2591.96,2612.68,1460.472
2024-09-26 06:00:00,2612.84,2619.66,2611.4,2616.44,761.2685
2024-09-26 07:00:00,2616.45,2635.6,2613.64,2629.46,1751.3116
2024-09-26 08:00:00,2629.64,2632.63,2615.88,2619.69,1046.3819
2024-09-26 09:00:00,2619.71,2626.31,2611.96,2619.42,1315.8261
2024-09-26 10:00:00,2619.42,2639.66,2616.25,2630.1,2439.0204
2024-09-26 11:00:00,2630.1,2631.41,2621.93,2628.69,1660.3032
2024-09-26 12:00:00,2628.69,2639.73,2622.66,2629.97,2257.7335
2024-09-26 13:00:00,2630.18,2635.47,2613.07,2620.7,2172.9036
2024-09-26 14:00:00,2620.7,2654.1,2613.28,2613.75,8937.0673
2024-09-26 15:00:00,2614.05,2666.11,2608.2,2652.41,9332.3839
